iter	RMSE
0	1.046268582
1	1.045313761
2	1.044410528
3	1.043622559
4	1.04256377
5	1.041740822
6	1.041018334
7	1.040236886
8	1.039531421
9	1.038895536
10	1.038165389
11	1.037440408
12	1.036666979
13	1.036067471
14	1.035462201
15	1.034745123
16	1.033986983
17	1.033193442
18	1.032629902
19	1.032056134
20	1.031565777
21	1.030862087
22	1.030384665
23	1.029806826
24	1.029132626
25	1.028629665
26	1.028083548
27	1.027452938
28	1.026962697
29	1.026453236
30	1.026055976
31	1.025600891
32	1.025075606
33	1.024664059
34	1.023981727
35	1.023493895
36	1.022989605
37	1.022479745
38	1.02198297
39	1.021644344
40	1.021127137
41	1.020709837
42	1.020259769
43	1.019751435
44	1.019356437
45	1.018860595
46	1.018363185
47	1.017952809
48	1.017493453
49	1.016986656
50	1.01658283
51	1.016152691
52	1.015738364
53	1.015312647
54	1.014940888
55	1.014475991
56	1.014053938
57	1.013617919
58	1.013152965
59	1.01277607
60	1.012346927
61	1.012039371
62	1.011669002
63	1.011238598
64	1.010653291
65	1.01034082
66	1.0099599
67	1.009579811
68	1.009266871
69	1.008782715
70	1.008419489
71	1.008094338
72	1.007564574
73	1.00724712
74	1.006826792
75	1.006441999
76	1.006104289
77	1.005735942
78	1.005297829
79	1.00488852
80	1.004480004
81	1.004179383
82	1.003763086
83	1.003346484
84	1.003051497
85	1.002614417
86	1.002258711
87	1.001972645
88	1.001721259
89	1.001230001
90	1.000972095
91	1.00063501
92	1.000146551
93	0.999811092
94	0.99939856
95	0.9989878508
96	0.9985510105
97	0.9980850721
98	0.9974259704
99	0.9970497334
100	0.9967668651
101	0.996443543
102	0.9960657182
103	0.9955556497
104	0.9951616191
105	0.9946996994
106	0.9943513279
107	0.9940418953
108	0.9937183126
109	0.9933128773
110	0.9928776992
111	0.9924397305
112	0.9921359654
113	0.9917425522
114	0.9913731088
115	0.9909485464
116	0.9904724621
117	0.990047364
118	0.9897544022
119	0.9893589423
120	0.9889320137
121	0.9885618298
122	0.9881514353
123	0.9877843212
124	0.987351721
125	0.9870617308
126	0.9866844297
127	0.986345134
128	0.9860382197
129	0.9856667542
130	0.985408259
131	0.9850089505
132	0.9846529286
133	0.9844056089
134	0.9841483178
135	0.9837718058
136	0.9835110792
137	0.9831993872
138	0.9827678167
139	0.9823180994
140	0.9820688604
141	0.9817891719
142	0.9813877228
143	0.981053676
144	0.9808465819
145	0.9803449624
146	0.9800072787
147	0.9796978883
148	0.9793130119
149	0.9789266516
150	0.978597146
151	0.9782254361
152	0.9777456795
153	0.9774332667
154	0.9770666925
155	0.9766992947
156	0.976324024
157	0.9759873461
158	0.9757293793
159	0.975374453
160	0.974950706
161	0.9746914132
162	0.9742672971
163	0.9738912071
164	0.9734841772
165	0.9732516528
166	0.9729410749
167	0.9726287207
168	0.9724038759
169	0.9721151833
170	0.9717167955
171	0.9713062045
172	0.9710552523
173	0.9707787861
174	0.970370393
175	0.9700023339
176	0.9697058599
177	0.9693994415
178	0.969021767
179	0.9686091328
180	0.9683136512
181	0.9679927929
182	0.9676859807
183	0.96733551
184	0.9670402436
185	0.9667440086
186	0.9664107674
187	0.9659803451
188	0.9657752543
189	0.9655574329
190	0.9652092288
191	0.9648881717
192	0.9645640637
193	0.9643407186
194	0.9641053267
195	0.96383228
196	0.9635019165
197	0.9632338754
198	0.9629445957
199	0.9626568153
