iter	Passed	Remaining
0	20	3994
1	32	3253
2	45	2958
3	57	2833
4	71	2787
5	85	2756
6	97	2681
7	108	2599
8	120	2565
9	133	2531
10	145	2507
11	157	2470
12	169	2438
13	181	2409
14	192	2373
15	204	2352
16	217	2344
17	231	2338
18	243	2317
19	255	2299
20	267	2276
21	279	2264
22	290	2236
23	302	2217
24	316	2214
25	328	2196
26	339	2174
27	351	2158
28	361	2130
29	373	2115
30	384	2098
31	397	2085
32	407	2062
33	417	2040
34	430	2027
35	440	2006
36	451	1990
37	462	1971
38	473	1954
39	484	1939
40	499	1938
41	510	1920
42	523	1910
43	535	1898
44	546	1882
45	557	1867
46	569	1853
47	581	1841
48	594	1833
49	607	1821
50	620	1811
51	631	1796
52	643	1784
53	656	1773
54	667	1759
55	678	1745
56	689	1729
57	701	1717
58	713	1704
59	723	1689
60	734	1674
61	746	1662
62	757	1647
63	768	1633
64	780	1620
65	790	1605
66	801	1591
67	813	1578
68	824	1564
69	837	1555
70	848	1542
71	859	1528
72	871	1516
73	882	1502
74	894	1490
75	905	1477
76	916	1464
77	927	1451
78	939	1438
79	951	1427
80	965	1417
81	976	1404
82	987	1392
83	1000	1381
84	1011	1368
85	1022	1355
86	1033	1341
87	1044	1329
88	1055	1316
89	1067	1304
90	1079	1292
91	1094	1284
92	1107	1273
93	1118	1260
94	1130	1249
95	1143	1238
96	1155	1226
97	1166	1214
98	1178	1202
99	1189	1189
100	1200	1176
101	1213	1166
102	1225	1154
103	1239	1144
104	1251	1132
105	1263	1120
106	1275	1108
107	1286	1095
108	1296	1082
109	1308	1070
110	1319	1057
111	1331	1046
112	1343	1034
113	1354	1021
114	1365	1009
115	1378	998
116	1391	987
117	1403	975
118	1414	962
119	1426	950
120	1437	938
121	1450	927
122	1461	914
123	1473	902
124	1486	891
125	1498	879
126	1509	867
127	1519	854
128	1530	842
129	1542	830
130	1552	817
131	1564	806
132	1575	793
133	1586	781
134	1597	768
135	1608	756
136	1620	745
137	1631	732
138	1643	721
139	1654	708
140	1664	696
141	1675	684
142	1686	672
143	1696	659
144	1706	647
145	1717	635
146	1728	623
147	1741	611
148	1751	599
149	1762	587
150	1772	575
151	1784	563
152	1795	551
153	1806	539
154	1817	527
155	1828	515
156	1839	503
157	1850	491
158	1862	480
159	1874	468
160	1885	456
161	1895	444
162	1906	432
163	1917	420
164	1929	409
165	1940	397
166	1951	385
167	1962	373
168	1973	362
169	1986	350
170	1998	338
171	2009	327
172	2022	315
173	2033	303
174	2045	292
175	2058	280
176	2071	269
177	2084	257
178	2097	246
179	2108	234
180	2121	222
181	2133	210
182	2145	199
183	2156	187
184	2169	175
185	2181	164
186	2193	152
187	2207	140
188	2219	129
189	2231	117
190	2243	105
191	2256	94
192	2268	82
193	2279	70
194	2290	58
195	2301	46
196	2312	35
197	2324	23
198	2336	11
199	2348	0
