iter	RMSE
0	1.049650149
1	1.048639607
2	1.047733696
3	1.046749159
4	1.045802134
5	1.045017353
6	1.044174658
7	1.043487137
8	1.042800323
9	1.041967796
10	1.041110327
11	1.040303796
12	1.039624369
13	1.039009103
14	1.038232359
15	1.03765911
16	1.037098253
17	1.036326046
18	1.035815417
19	1.035257172
20	1.034750904
21	1.034059252
22	1.033570528
23	1.033049439
24	1.032399489
25	1.03187507
26	1.031369847
27	1.030801596
28	1.030063166
29	1.029543031
30	1.029008609
31	1.028397931
32	1.027968945
33	1.027481277
34	1.026931128
35	1.026391386
36	1.025942306
37	1.025562149
38	1.024770869
39	1.024303746
40	1.023823327
41	1.023284642
42	1.022774838
43	1.022306146
44	1.021765625
45	1.021246422
46	1.020860775
47	1.020364
48	1.020032476
49	1.019632497
50	1.019176237
51	1.018718496
52	1.018253004
53	1.01791975
54	1.01752386
55	1.017062488
56	1.016610806
57	1.016188311
58	1.015572177
59	1.015199536
60	1.014644677
61	1.014330441
62	1.014021319
63	1.013582174
64	1.012924998
65	1.012462084
66	1.012008078
67	1.011499858
68	1.011069637
69	1.010539317
70	1.009878907
71	1.009449713
72	1.009031454
73	1.008714529
74	1.008402567
75	1.008029647
76	1.007632374
77	1.00729706
78	1.006809544
79	1.006372741
80	1.00586689
81	1.005476596
82	1.005079237
83	1.004727385
84	1.004343448
85	1.004041855
86	1.003633693
87	1.00339194
88	1.003057655
89	1.002684753
90	1.002400799
91	1.002108435
92	1.001679298
93	1.001381374
94	1.000898318
95	1.000527155
96	1.00001111
97	0.9997038367
98	0.9991355458
99	0.9987187705
100	0.9984035581
101	0.9980081635
102	0.9974788763
103	0.9970327682
104	0.9965809525
105	0.9962079018
106	0.9958330678
107	0.995351166
108	0.994996278
109	0.9946216957
110	0.99424797
111	0.9939563826
112	0.9936240275
113	0.9931347915
114	0.9928314206
115	0.9925545873
116	0.9922273982
117	0.9918091784
118	0.9913873079
119	0.9909829225
120	0.9905303032
121	0.9900809104
122	0.9897007415
123	0.9893926112
124	0.9890179839
125	0.9885979187
126	0.988246452
127	0.9879308173
128	0.9875373537
129	0.9872640963
130	0.9868599917
131	0.9865856431
132	0.9862932191
133	0.9859131578
134	0.9856262811
135	0.9851806597
136	0.9849773988
137	0.9846316081
138	0.9842785082
139	0.9838957958
140	0.9836151825
141	0.9832924287
142	0.9829560667
143	0.9826228129
144	0.9821696803
145	0.9817424467
146	0.9814894509
147	0.9811644561
148	0.9806329772
149	0.9803505932
150	0.9801069637
151	0.979834049
152	0.9794882627
153	0.9790818298
154	0.9786728116
155	0.9783534056
156	0.9779767552
157	0.9776022151
158	0.9771937736
159	0.9768418651
160	0.9763202661
161	0.9758672934
162	0.975401588
163	0.9751556649
164	0.9747216433
165	0.9744129722
166	0.9740768424
167	0.97371414
168	0.973525323
169	0.9731940356
170	0.9727583298
171	0.9725082634
172	0.972255356
173	0.9719007654
174	0.9714928886
175	0.9711182573
176	0.9708683044
177	0.9706193236
178	0.9702603705
179	0.9698683112
180	0.9696321909
181	0.9692943031
182	0.9690061952
183	0.9686486543
184	0.9683180515
185	0.9680467118
186	0.9676427863
187	0.9672035782
188	0.9669254893
189	0.9665158829
190	0.9660705194
191	0.9657771982
192	0.965473807
193	0.9652039125
194	0.9649217446
195	0.9646380415
196	0.96428274
197	0.9640014208
198	0.9637488286
199	0.9633934119
