iter	Passed	Remaining
0	19	3850
1	32	3255
2	46	3042
3	60	2956
4	73	2876
5	86	2785
6	98	2707
7	110	2658
8	123	2631
9	136	2594
10	150	2588
11	163	2567
12	175	2531
13	187	2494
14	200	2474
15	213	2451
16	225	2430
17	240	2430
18	252	2410
19	266	2400
20	279	2380
21	293	2373
22	306	2360
23	318	2337
24	332	2327
25	344	2305
26	356	2283
27	369	2268
28	381	2251
29	395	2241
30	408	2226
31	420	2207
32	432	2188
33	444	2169
34	456	2153
35	470	2142
36	483	2127
37	495	2113
38	507	2096
39	520	2080
40	532	2066
41	547	2058
42	560	2046
43	573	2032
44	585	2016
45	597	2001
46	610	1987
47	623	1973
48	634	1956
49	647	1942
50	659	1927
51	671	1912
52	684	1897
53	695	1879
54	706	1862
55	720	1853
56	733	1839
57	745	1824
58	758	1812
59	770	1797
60	782	1783
61	793	1766
62	806	1754
63	818	1739
64	830	1724
65	843	1713
66	856	1699
67	869	1687
68	881	1673
69	896	1664
70	909	1651
71	920	1636
72	933	1623
73	944	1608
74	957	1596
75	971	1584
76	984	1573
77	997	1559
78	1009	1546
79	1022	1533
80	1033	1518
81	1046	1505
82	1060	1494
83	1071	1480
84	1084	1467
85	1097	1455
86	1110	1441
87	1121	1426
88	1133	1413
89	1146	1401
90	1160	1389
91	1171	1375
92	1186	1364
93	1199	1352
94	1214	1341
95	1226	1328
96	1239	1315
97	1251	1302
98	1263	1288
99	1274	1274
100	1288	1263
101	1301	1250
102	1314	1237
103	1327	1225
104	1341	1213
105	1354	1201
106	1366	1187
107	1379	1175
108	1391	1161
109	1404	1149
110	1417	1136
111	1429	1123
112	1442	1110
113	1454	1097
114	1467	1084
115	1479	1071
116	1492	1058
117	1505	1046
118	1518	1033
119	1530	1020
120	1542	1006
121	1554	994
122	1566	980
123	1579	967
124	1591	954
125	1605	942
126	1617	929
127	1629	916
128	1642	904
129	1654	891
130	1666	877
131	1679	865
132	1691	852
133	1704	839
134	1717	826
135	1730	814
136	1743	801
137	1754	788
138	1769	776
139	1781	763
140	1794	750
141	1806	737
142	1819	725
143	1831	712
144	1845	699
145	1858	687
146	1870	674
147	1883	661
148	1896	649
149	1909	636
150	1921	623
151	1935	611
152	1948	598
153	1961	586
154	1974	573
155	1988	560
156	2001	548
157	2013	535
158	2026	522
159	2039	509
160	2051	496
161	2063	484
162	2076	471
163	2089	458
164	2102	445
165	2115	433
166	2127	420
167	2139	407
168	2151	394
169	2164	382
170	2178	369
171	2191	356
172	2203	343
173	2216	331
174	2229	318
175	2243	305
176	2256	293
177	2269	280
178	2282	267
179	2295	255
180	2307	242
181	2320	229
182	2333	216
183	2345	203
184	2358	191
185	2371	178
186	2385	165
187	2399	153
188	2412	140
189	2425	127
190	2440	114
191	2452	102
192	2465	89
193	2477	76
194	2490	63
195	2502	51
196	2515	38
197	2527	25
198	2539	12
199	2552	0
