Patient,Lag,Model,MSE,RMSE,Avg Corr
sub1,30,XGBoost,0.6311086976828808,0.7944235002080948,0.6753476759877721
sub1,30,Hist Gradient Boosting,0.7091866553427505,0.8421322077576362,0.6124234337231597
sub1,30,LightGBM,0.7329525488834426,0.8561264794897087,0.5827102764343579
sub1,30,CatBoost,0.8268704716475275,0.9093241840221382,0.48695583773042683
sub1,30,Ridge Regression,0.9556596035183181,0.9775784385502363,0.17216654080189187
sub1,32,XGBoost,0.633946194386061,0.7962073815194513,0.672846274905705
sub1,32,Hist Gradient Boosting,0.7098345096449843,0.8425167711357349,0.6109079659194464
sub1,32,LightGBM,0.7321396896165606,0.8556516169660177,0.5836151983211458
sub1,32,CatBoost,0.8267728500191709,0.9092705043160538,0.4874080627890634
sub1,32,Ridge Regression,0.9558573038540509,0.9776795506985154,0.17168458137324977
sub1,34,XGBoost,0.63748335596828,0.798425548168569,0.6741833938619803
sub1,34,Hist Gradient Boosting,0.7165551016216656,0.8464957776750369,0.6081018550663893
sub1,34,LightGBM,0.7391318479087665,0.8597277754666104,0.5806888011575436
sub1,34,CatBoost,0.8337195896211671,0.9130824659477188,0.48492205631516716
sub1,34,Ridge Regression,0.9628704830827758,0.9812596410139244,0.17150444184028424
sub1,36,XGBoost,0.6347706436809099,0.7967249485744186,0.6728518216779065
sub1,36,Hist Gradient Boosting,0.711811276617468,0.8436890876486836,0.6108394135276025
sub1,36,LightGBM,0.7339617329992746,0.8567156663673628,0.5817205408463372
sub1,36,CatBoost,0.8284806913249667,0.9102091470233458,0.4846828898447385
sub1,36,Ridge Regression,0.9568321227065912,0.9781779606526572,0.171980410350506
sub1,38,XGBoost,0.6343756426667206,0.796477019547156,0.6729419247169185
sub1,38,Hist Gradient Boosting,0.7115289220856461,0.8435217377671106,0.6111619753710393
sub1,38,LightGBM,0.733358932209508,0.8563637849707961,0.5831475572180596
sub1,38,CatBoost,0.8285605485379748,0.9102530134737126,0.48568957481812725
sub1,38,Ridge Regression,0.9573163921212189,0.9784254657975838,0.172100097631107
sub1,40,XGBoost,0.632543062131443,0.7953257584986437,0.6732134323895844
sub1,40,Hist Gradient Boosting,0.7103066419833531,0.8427969162160912,0.6114380373331036
sub1,40,LightGBM,0.7315176140453978,0.8552880298737952,0.5835913282479372
sub1,40,CatBoost,0.8279577750258763,0.909921851054186,0.4830339684096292
sub1,40,Ridge Regression,0.9562680039413716,0.9778895663321966,0.17132607603811373
sub1,42,XGBoost,0.6399470323824784,0.7999668945540674,0.6719597366441215
sub1,42,Hist Gradient Boosting,0.716520152830842,0.8464751342070492,0.6101206411833582
sub1,42,LightGBM,0.7391541664566904,0.8597407553772768,0.5800014151764709
